Point X,Point Y,Point Z,Heading,Type,Move
12387.3,5217.01,0,2.23706,2,1
12352.2,5252.48,0,2.46433,2,1
12310.1,5279.14,0,2.69161,2,1
12263,5295.61,0,2.91888,2,1
12213.4,5301.04,0,3.14615,2,1
12200.2,5300.58,0,3.2062,2,1
12200.2,5300.58,0,3.2062,2,1
12150.3,5297.35,0,3.2062,2,1
12100.4,5294.13,0,3.2062,2,1
12050.5,5290.9,0,3.2062,2,1
12000.6,5287.67,0,3.2062,2,1
11950.7,5284.44,0,3.2062,2,1
11900.8,5281.21,0,3.2062,2,1
11850.9,5277.99,0,3.2062,2,1
11801,5274.76,0,3.2062,2,1
11751.1,5271.53,0,3.2062,2,1
11739.9,5270.81,0,3.2062,2,1
11739.9,5270.81,0,3.2062,2,1
11690.8,5261.96,0,3.43347,2,1
11664.6,5252.24,0,3.56047,2,1
11664.6,5252.24,0,3.56047,2,1
11527.6,5191.23,0,3.56047,4,1
1142.77,567.609,0,3.56047,1,1
868.707,445.588,0,3.56047,5,1
821.121,430.594,0,3.3332,2,1
771.38,426.708,0,3.10593,2,1
722.043,434.129,0,2.87865,2,1
675.646,452.476,0,2.65138,2,1
634.577,480.806,0,2.42411,2,1
600.947,517.661,0,2.19684,2,1
576.486,561.146,0,1.96956,2,1
562.452,609.024,0,1.74229,2,1
